participant,half,segment_left_shoulder_right_shoulder,segment_left_hip_right_hip,segment_left_shoulder_left_elbow,segment_right_shoulder_right_elbow,segment_left_elbow_left_wrist,segment_right_elbow_right_wrist,segment_left_hip_left_knee,segment_right_hip_right_knee,segment_left_knee_left_ankle,segment_right_knee_right_ankle,segment_left_shoulder_left_hip,segment_right_shoulder_right_hip,mean_angle_L.Elbow,mean_angle_R.Elbow,mean_angle_L.Shoulder,mean_angle_R.Shoulder,mean_angle_L.Hip,mean_angle_R.Hip,mean_angle_L.Knee,mean_angle_R.Knee,mean_angle_L.Distal arm,mean_angle_R.Distal arm,mean_angle_L.Distal leg,mean_angle_R.Distal leg,mean_angle_Head/Neck
P11,first,117.143,75.6419,87.8414,84.6494,53.4155,53.5776,69.7672,71.1459,138.356,130.298,122.884,124.493,130.366,134.408,14.516,13.0871,174.724,164.688,175.313,161.099,30.9544,27.1243,1.52607,6.43786,175.394
P12,first,136.463,95.0877,87.0457,80.853,66.6324,61.613,73.4662,72.4892,154.786,121.908,131.485,143.338,147.863,155.634,2.02211,17.9439,162.253,140.351,154.021,136.668,18.2567,14.0544,9.06339,15.907,175.061
P13,first,133.794,90.3919,98.6967,95.5179,45.015,42.8354,81.08,61.8447,159.565,164.015,93.3402,112.296,131.104,114.036,22.1984,21.0366,142.436,88.0136,141.89,125.228,25.8021,31.3582,12.6608,7.77126,151.765
P14,first,150.321,83.5444,100.293,101.186,73.5032,47.469,67.0786,55.8974,189.234,181.604,199.348,176.282,106.452,127.053,12.7746,23.3553,2.90135,135.705,56.9393,140.962,44.1634,38.6861,19.9577,8.75814,168.539
P15,first,150.156,99.4899,118.613,113.1,95.0955,78.9244,48.2285,106.264,209.304,194.9,178.721,180.257,120.26,141.205,12.856,16.4421,140.718,113.206,156.197,120.77,37.0692,26.4919,4.4235,20.0774,167.368
P16,first,147.196,92.261,106.886,101.959,91.4419,73.6287,76.3783,67.5222,156.811,161.121,166.117,158.666,147.662,160.497,6.11971,8.81364,161.136,148.529,161.605,144.589,18.1253,12.3925,6.02015,10.8453,164.639
P17,first,142.862,75.8832,106.524,104.8,66.7441,68.5141,77.7976,98.2843,165.248,165.914,149.422,146.78,127.628,127.763,16.4406,15.4919,134.811,117.089,129.022,107.441,32.849,32.7405,16.1086,25.9075,161.336
P18,first,131.121,91.2059,95.5974,91.0778,81.4759,54.5042,118.967,108.45,182.932,192.383,162.501,148.715,101.475,131.465,18.3565,19.6203,159.226,143.463,157.13,109.875,47.6022,32.6171,8.30728,13.0914,164.656
P19,first,113.862,70.1282,85.3976,85.4525,83.3031,56.727,95.0073,43.845,156.261,151.585,138.499,129.667,101.256,105.163,10.8522,14.532,132.262,132.595,133.185,126.88,41.2446,51.1026,17.3334,7.372,159.816
P20,first,143.507,88.2725,114.92,112.187,83.5203,46.5666,93.3973,120.937,197.528,177.487,165.12,161.74,97.8554,90.9148,13.932,21.8889,122.141,121.343,94.7253,79.8519,51.0137,64.7101,8.9146,20.1125,153.296
